a ,b,c
LogisticRegression,0.635,"['sulphates', 'density', 'chlorides']"
LogisticRegression,0.635,"['alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.635,"['alcohol', 'density', 'chlorides']"
LogisticRegression,0.635,"['residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.635,"['residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.635,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'alcohol', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'density', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.635,"['sulphates', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.635,"['sulphates', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.635,"['sulphates', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.635,"['alcohol', 'residual sugar', 'density', 'chlorides']"
SVC,0.635,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'chlorides']"
SVC,0.635,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'chlorides']"
SVC,0.635,"['free sulfur dioxide', 'pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.635,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'density']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'density', 'chlorides']"
SVC,0.635,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
SVC,0.635,"['pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
SVC,0.635,"['pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.635,"['sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.635,"['sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.635,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.63,"['sulphates', 'residual sugar', 'chlorides']"
RandomForestClassifier,0.63,"['sulphates', 'density', 'chlorides']"
SVC,0.63,"['free sulfur dioxide', 'pH', 'citric acid', 'chlorides']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.63,"['pH', 'sulphates', 'alcohol', 'citric acid']"
SVC,0.63,"['pH', 'sulphates', 'citric acid', 'chlorides']"
SVC,0.63,"['pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.63,"['sulphates', 'alcohol', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'density']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.63,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.625,['chlorides']
RandomForestClassifier,0.625,"['density', 'chlorides']"
RandomForestClassifier,0.625,"['free sulfur dioxide', 'residual sugar', 'chlorides']"
RandomForestClassifier,0.62,"['sulphates', 'chlorides']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'pH', 'density']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'alcohol', 'citric acid']"
RandomForestClassifier,0.62,"['pH', 'sulphates', 'citric acid']"
RandomForestClassifier,0.62,"['sulphates', 'alcohol', 'residual sugar']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'sulphates', 'density', 'chlorides']"
SVC,0.62,"['pH', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.62,"['sulphates', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.62,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.62,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.615,"['free sulfur dioxide', 'chlorides']"
SVC,0.615,"['citric acid', 'chlorides']"
RandomForestClassifier,0.615,"['pH', 'sulphates', 'residual sugar']"
RandomForestClassifier,0.615,"['alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.615,"['free sulfur dioxide', 'sulphates', 'alcohol', 'density']"
SVC,0.615,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.615,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'density']"
SVC,0.615,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
SVC,0.615,"['pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
SVC,0.615,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
SVC,0.615,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'density', 'chlorides']"
SVC,0.615,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
SVC,0.615,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.61,"['pH', 'citric acid']"
RandomForestClassifier,0.61,"['alcohol', 'residual sugar']"
RandomForestClassifier,0.61,"['residual sugar', 'chlorides']"
RandomForestClassifier,0.61,"['pH', 'citric acid', 'density']"
RandomForestClassifier,0.61,"['sulphates', 'alcohol', 'density']"
RandomForestClassifier,0.61,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.61,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.61,"['pH', 'sulphates', 'citric acid', 'density']"
RandomForestClassifier,0.61,"['sulphates', 'alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.61,"['sulphates', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.61,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.61,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.61,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.605,"['free sulfur dioxide', 'alcohol', 'density']"
RandomForestClassifier,0.605,"['pH', 'sulphates', 'residual sugar', 'density']"
RandomForestClassifier,0.605,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.6,['alcohol']
SVC,0.6,"['pH', 'chlorides']"
RandomForestClassifier,0.6,"['alcohol', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.6,"['free sulfur dioxide', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.6,"['alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.6,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
SVC,0.6,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
SVC,0.6,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.595,"['alcohol', 'citric acid']"
SVC,0.595,"['free sulfur dioxide', 'citric acid', 'chlorides']"
SVC,0.595,"['sulphates', 'citric acid', 'chlorides']"
SVC,0.595,"['residual sugar', 'citric acid', 'chlorides']"
SVC,0.595,"['citric acid', 'density', 'chlorides']"
SVC,0.595,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
SVC,0.59,"['free sulfur dioxide', 'pH', 'chlorides']"
SVC,0.59,"['pH', 'sulphates', 'chlorides']"
SVC,0.59,"['pH', 'residual sugar', 'chlorides']"
SVC,0.59,"['pH', 'density', 'chlorides']"
RandomForestClassifier,0.59,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid']"
SVC,0.59,"['free sulfur dioxide', 'pH', 'sulphates', 'chlorides']"
SVC,0.59,"['free sulfur dioxide', 'pH', 'residual sugar', 'chlorides']"
RandomForestClassifier,0.59,"['free sulfur dioxide', 'pH', 'citric acid', 'density']"
SVC,0.59,"['free sulfur dioxide', 'pH', 'density', 'chlorides']"
RandomForestClassifier,0.59,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid']"
RandomForestClassifier,0.59,"['pH', 'sulphates', 'residual sugar', 'citric acid']"
SVC,0.59,"['pH', 'sulphates', 'residual sugar', 'chlorides']"
SVC,0.59,"['pH', 'sulphates', 'density', 'chlorides']"
RandomForestClassifier,0.59,"['pH', 'residual sugar', 'citric acid', 'density']"
SVC,0.59,"['pH', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.585,"['free sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.585,"['pH', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.58,"['sulphates', 'alcohol']"
RandomForestClassifier,0.58,"['free sulfur dioxide', 'pH', 'citric acid']"
SVC,0.58,"['free sulfur dioxide', 'sulphates', 'citric acid', 'chlorides']"
SVC,0.58,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'chlorides']"
SVC,0.58,"['free sulfur dioxide', 'citric acid', 'density', 'chlorides']"
SVC,0.58,"['sulphates', 'residual sugar', 'citric acid', 'chlorides']"
SVC,0.58,"['sulphates', 'citric acid', 'density', 'chlorides']"
SVC,0.58,"['residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.58,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid']"
RandomForestClassifier,0.58,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.575,"['sulphates', 'alcohol', 'citric acid']"
SVC,0.575,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
SVC,0.575,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density', 'chlorides']"
SVC,0.575,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density', 'chlorides']"
SVC,0.575,"['sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
SVC,0.575,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.565,"['alcohol', 'density']"
RandomForestClassifier,0.565,"['free sulfur dioxide', 'alcohol', 'residual sugar']"
RandomForestClassifier,0.565,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar']"
SVC,0.56,"['pH', 'alcohol', 'citric acid']"
SVC,0.555,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'chlorides']"
SVC,0.555,"['free sulfur dioxide', 'sulphates', 'density', 'chlorides']"
SVC,0.555,"['free sulfur dioxide', 'residual sugar', 'density', 'chlorides']"
SVC,0.555,"['sulphates', 'residual sugar', 'density', 'chlorides']"
SVC,0.555,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'chlorides']"
SVC,0.555,"['free sulfur dioxide', 'pH', 'sulphates', 'density', 'chlorides']"
SVC,0.555,"['free sulfur dioxide', 'pH', 'residual sugar', 'density', 'chlorides']"
SVC,0.555,"['pH', 'sulphates', 'residual sugar', 'density', 'chlorides']"
SVC,0.545,"['residual sugar', 'chlorides']"
SVC,0.545,"['free sulfur dioxide', 'residual sugar', 'chlorides']"
SVC,0.545,"['sulphates', 'residual sugar', 'chlorides']"
SVC,0.545,"['residual sugar', 'density', 'chlorides']"
SVC,0.545,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density', 'chlorides']"
SVC,0.54,['chlorides']
SVC,0.54,"['free sulfur dioxide', 'chlorides']"
SVC,0.54,"['sulphates', 'chlorides']"
SVC,0.54,"['density', 'chlorides']"
SVC,0.54,"['free sulfur dioxide', 'sulphates', 'chlorides']"
SVC,0.54,"['free sulfur dioxide', 'density', 'chlorides']"
SVC,0.54,"['sulphates', 'density', 'chlorides']"
SVC,0.54,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'density', 'chlorides']"
SVC,0.53,"['pH', 'alcohol']"
SVC,0.52,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid']"
SVC,0.52,"['pH', 'sulphates', 'alcohol', 'citric acid']"
SVC,0.52,"['pH', 'alcohol', 'citric acid', 'density']"
SVC,0.515,"['alcohol', 'citric acid']"
SVC,0.51,"['free sulfur dioxide', 'alcohol', 'citric acid']"
SVC,0.51,"['sulphates', 'alcohol', 'citric acid']"
SVC,0.51,"['alcohol', 'citric acid', 'density']"
SVC,0.505,"['pH', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.495,"['free sulfur dioxide', 'pH', 'alcohol']"
SVC,0.495,"['pH', 'sulphates', 'alcohol']"
SVC,0.495,"['pH', 'alcohol', 'residual sugar']"
SVC,0.495,"['pH', 'alcohol', 'density']"
SVC,0.495,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid']"
SVC,0.495,"['free sulfur dioxide', 'alcohol', 'citric acid', 'density']"
SVC,0.495,"['sulphates', 'alcohol', 'citric acid', 'density']"
SVC,0.49,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.485,['alcohol']
SVC,0.485,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid']"
SVC,0.485,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.485,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'density']"
SVC,0.485,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.485,"['pH', 'sulphates', 'alcohol', 'citric acid', 'density']"
SVC,0.485,"['pH', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.485,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.485,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.485,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.48,"['alcohol', 'residual sugar', 'citric acid']"
SVC,0.48,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid', 'density']"
SVC,0.475,"['free sulfur dioxide', 'sulphates', 'alcohol']"
SVC,0.475,"['free sulfur dioxide', 'alcohol', 'density']"
SVC,0.475,"['sulphates', 'alcohol', 'density']"
SVC,0.47,"['free sulfur dioxide', 'alcohol']"
SVC,0.47,"['sulphates', 'alcohol']"
SVC,0.47,"['alcohol', 'density']"
SVC,0.47,"['free sulfur dioxide', 'alcohol', 'residual sugar']"
SVC,0.47,"['sulphates', 'alcohol', 'residual sugar']"
SVC,0.47,"['alcohol', 'residual sugar', 'density']"
SVC,0.47,"['free sulfur dioxide', 'sulphates', 'alcohol', 'density']"
SVC,0.47,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.47,"['sulphates', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.47,"['alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.47,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'density']"
SVC,0.465,"['alcohol', 'residual sugar']"
SVC,0.465,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC,0.465,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar']"
SVC,0.465,"['free sulfur dioxide', 'pH', 'alcohol', 'density']"
SVC,0.465,"['pH', 'sulphates', 'alcohol', 'residual sugar']"
SVC,0.465,"['pH', 'sulphates', 'alcohol', 'density']"
SVC,0.465,"['pH', 'alcohol', 'residual sugar', 'density']"
SVC,0.465,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'density']"
SVC,0.455,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar']"
SVC,0.455,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'density']"
SVC,0.455,"['sulphates', 'alcohol', 'residual sugar', 'density']"
SVC,0.455,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid']"
SVC,0.455,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'density']"
SVC,0.455,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'density']"
SVC,0.45,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'density']"
SVC,0.445,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'density']"
SVC,0.44,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'density']"
SVC,0.435,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar']"
SVC,0.435,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density']"
SVC,0.435,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
SVC,0.435,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.435,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'density']"
SVC,0.435,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.415,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid']"
SVC,0.415,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid']"
SVC,0.415,"['free sulfur dioxide', 'pH', 'citric acid', 'density']"
SVC,0.415,"['pH', 'sulphates', 'residual sugar', 'citric acid']"
SVC,0.415,"['pH', 'sulphates', 'citric acid', 'density']"
SVC,0.415,"['pH', 'residual sugar', 'citric acid', 'density']"
SVC,0.415,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'density']"
SVC,0.415,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
SVC,0.385,"['pH', 'citric acid']"
SVC,0.36,['residual sugar']
SVC,0.36,"['free sulfur dioxide', 'residual sugar']"
SVC,0.36,"['sulphates', 'residual sugar']"
SVC,0.36,"['residual sugar', 'density']"
SVC,0.36,"['free sulfur dioxide', 'sulphates', 'residual sugar']"
SVC,0.36,"['free sulfur dioxide', 'residual sugar', 'density']"
SVC,0.36,"['sulphates', 'residual sugar', 'density']"
SVC,0.36,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density']"
SVC,0.35,"['free sulfur dioxide', 'pH', 'citric acid']"
SVC,0.35,"['pH', 'sulphates', 'citric acid']"
SVC,0.35,"['pH', 'residual sugar', 'citric acid']"
SVC,0.35,"['pH', 'citric acid', 'density']"
SVC,0.33,"['residual sugar', 'citric acid']"
SVC,0.33,"['free sulfur dioxide', 'residual sugar', 'citric acid']"
SVC,0.33,"['sulphates', 'residual sugar', 'citric acid']"
SVC,0.33,"['residual sugar', 'citric acid', 'density']"
SVC,0.33,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid']"
SVC,0.33,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density']"
SVC,0.33,"['sulphates', 'residual sugar', 'citric acid', 'density']"
SVC,0.33,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'density']"
SVC,0.325,['pH']
SVC,0.315,"['free sulfur dioxide', 'pH']"
SVC,0.315,"['pH', 'sulphates']"
SVC,0.315,"['pH', 'residual sugar']"
SVC,0.315,"['pH', 'density']"
SVC,0.315,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar']"
SVC,0.315,"['free sulfur dioxide', 'pH', 'sulphates', 'density']"
SVC,0.315,"['free sulfur dioxide', 'pH', 'residual sugar', 'density']"
SVC,0.315,"['pH', 'sulphates', 'residual sugar', 'density']"
SVC,0.31,['citric acid']
SVC,0.31,"['free sulfur dioxide', 'citric acid']"
SVC,0.31,"['sulphates', 'citric acid']"
SVC,0.31,"['citric acid', 'density']"
SVC,0.31,"['free sulfur dioxide', 'pH', 'sulphates']"
SVC,0.31,"['free sulfur dioxide', 'pH', 'residual sugar']"
SVC,0.31,"['free sulfur dioxide', 'pH', 'density']"
SVC,0.31,"['free sulfur dioxide', 'sulphates', 'citric acid']"
SVC,0.31,"['free sulfur dioxide', 'citric acid', 'density']"
SVC,0.31,"['pH', 'sulphates', 'residual sugar']"
SVC,0.31,"['pH', 'sulphates', 'density']"
SVC,0.31,"['pH', 'residual sugar', 'density']"
SVC,0.31,"['sulphates', 'citric acid', 'density']"
SVC,0.31,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density']"
SVC,0.31,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'density']"
SVC,0.2,['free sulfur dioxide']
SVC,0.2,['sulphates']
SVC,0.2,['density']
SVC,0.2,"['free sulfur dioxide', 'sulphates']"
SVC,0.2,"['free sulfur dioxide', 'density']"
SVC,0.2,"['sulphates', 'density']"
SVC,0.2,"['free sulfur dioxide', 'sulphates', 'density']"
